ID,MONTHS_BALANCE,STATUS
5008820,-3,4
5008821,0,X
5008821,-1,0
5008821,-2,C
5008821,-3,X
5008821,-4,X
5008821,-5,0
5008821,-6,0
5008821,-7,X
5008821,-8,C
5008821,-9,C
5008821,-10,X
5008821,-11,0
5008821,-12,0
5008821,-13,0
5008821,-14,0
5008821,-15,0
5008821,-16,C
5008821,-17,C
5008821,-18,0
5008822,0,X
5008822,-1,0
5008822,-2,0
5008822,-3,X
5008822,-4,C
5008822,-5,C
5008822,-6,0
5008822,-7,C
5008822,-8,C
5008822,-9,0
5008822,-10,0
5008822,-11,0
5008822,-12,C
5008822,-13,C
5008822,-14,X
5008823,0,0
5008823,-1,X
5008823,-2,C
5008823,-3,C
5008823,-4,C
5008823,-5,0
5008823,-6,X
5008823,-7,C
5008823,-8,0
5008823,-9,0
5008823,-10,X
5008823,-11,1
5008823,-12,C
5008823,-13,X
5008823,-14,C
5008823,-15,X
5008823,-16,C
5008823,-17,C
5008823,-18,X
5008823,-19,0
5008823,-20,C
5008824,0,0
5008824,-1,0
5008824,-2,C
5008824,-3,0
5008824,-4,C
5008824,-5,C
5008824,-6,0
5008824,-7,X
5008824,-8,C
5008824,-9,C
5008824,-10,C
5008824,-11,0
5008824,-12,C
5008824,-13,X
5008824,-14,C
5008824,-15,C
5008824,-16,C
5008824,-17,0
5008824,-18,X
5008824,-19,C
5008824,-20,C
5008824,-21,0
5008824,-22,0
5008824,-23,C
5008825,0,C
5008825,-1,C
5008825,-2,X
5008825,-3,X
5008825,-4,C
5008825,-5,0
5008825,-6,0
5008825,-7,0
5008825,-8,C
5008826,0,C
5008826,-1,C
5008826,-2,C
5008826,-3,X
5008826,-4,C
5008826,-5,X
5008826,-6,0
5008826,-7,0
5008826,-8,X
5008826,-9,C
5008826,-10,C
5008826,-11,X
5008827,0,0
5008827,-1,X
5008827,-2,0
5008828,0,0
5008828,-1,0
5008828,-2,C
5008828,-3,0
5008828,-4,X
5008828,-5,0
5008828,-6,C
5008828,-7,X
5008828,-8,X
5008828,-9,C
5008828,-10,X
5008828,-11,C
5008828,-12,C
5008828,-13,C
5008829,0,C
5008829,-1,C
5008829,-2,0
5008829,-3,X
5008829,-4,X
5008829,-5,C
5008830,0,C
5008830,-1,C
5008830,-2,0
5008830,-3,0
5008830,-4,0
5008830,-5,C
5008830,-6,1
5008831,0,C
5008831,-1,X
5008831,-2,C
5008831,-3,X
5008831,-4,C
5008831,-5,C
5008831,-6,X
5008831,-7,C
5008831,-8,0
5008831,-9,C
5008831,-10,C
5008831,-11,X
5008831,-12,C
5008831,-13,C
5008831,-14,0
5008831,-15,X
5008832,0,C
5008832,-1,C
5008832,-2,0
5008832,-3,0
5008832,-4,X
5008832,-5,X
5008833,0,C
5008833,-1,C
5008833,-2,C
5008833,-3,C
5008833,-4,0
5008833,-5,0
5008833,-6,X
5008833,-7,0
5008833,-8,C
5008833,-9,C
5008833,-10,0
5008833,-11,X
5008834,0,X
5008834,-1,1
5008834,-2,C
5008834,-3,C
5008834,-4,C
5008834,-5,C
5008834,-6,C
5008834,-7,C
5008834,-8,0
5008834,-9,C
5008834,-10,C
5008834,-11,C
5008834,-12,X
5008834,-13,0
5008834,-14,0
5008834,-15,X
5008834,-16,C
5008834,-17,C
5008834,-18,0
5008834,-19,0
5008834,-20,X
5008835,0,C
5008835,-1,0
5008835,-2,C
5008835,-3,C
5008835,-4,C
5008835,-5,C
5008835,-6,C
5008835,-7,0
5008835,-8,C
5008835,-9,C
5008835,-10,X
5008835,-11,0
5008835,-12,C
5008835,-13,C
5008835,-14,C
5008836,0,C
5008836,-1,C
5008836,-2,C
5008836,-3,C
5008836,-4,C
5008836,-5,C
5008836,-6,C
5008836,-7,0
5008836,-8,C
5008836,-9,X
5008836,-10,C
5008836,-11,C
5008836,-12,0
5008836,-13,C
5008836,-14,0
5008836,-15,C
5008836,-16,X
5008836,-17,C
5008836,-18,X
5008837,0,C
5008837,-1,0
5008837,-2,X
5008837,-3,C
5008837,-4,C
5008837,-5,X
5008837,-6,C
5008837,-7,1
5008837,-8,0
5008837,-9,0
5008837,-10,X
5008837,-11,C
5008837,-12,0
5008837,-13,0
5008838,0,0
5008838,-1,C
5008838,-2,C
5008838,-3,C
5008838,-4,C
5008838,-5,C
5008838,-6,C
5008838,-7,0
5008838,-8,C
5008838,-9,C
5008838,-10,C
5008838,-11,C
5008838,-12,C
5008838,-13,0
5008838,-14,X
5008838,-15,C
5008839,0,C
5008839,-1,X
5008839,-2,X
5008839,-3,C
5008839,-4,C
5008839,-5,C
5008840,0,C
5008840,-1,0
5008840,-2,X
5008840,-3,0
5008840,-4,X
5008840,-5,X
5008840,-6,0
5008840,-7,X
5008840,-8,X
5008840,-9,C
5008840,-10,X
5008840,-11,0
5008840,-12,C
5008840,-13,C
5008840,-14,C
5008840,-15,X
5008840,-16,C
5008840,-17,X
5008840,-18,X
5008840,-19,X
5008840,-20,C
5008841,0,X
5008841,-1,C
5008841,-2,C
5008841,-3,C
5008841,-4,C
5008841,-5,C
5008841,-6,C
5008841,-7,C
5008841,-8,X
5008841,-9,0
5008841,-10,C
5008841,-11,0
5008841,-12,0
5008841,-13,C
5008841,-14,C
5008841,-15,0
5008841,-16,C
5008841,-17,X
5008841,-18,C
5008841,-19,0
5008841,-20,0
5008841,-21,C
5008842,0,X
5008842,-1,X
5008842,-2,X
5008842,-3,0
5008842,-4,1
5008842,-5,C
5008842,-6,C
5008842,-7,0
5008842,-8,0
5008842,-9,C
5008842,-10,C
5008842,-11,1
5008842,-12,X
5008842,-13,C
5008842,-14,C
5008842,-15,X
5008842,-16,0
5008842,-17,X
5008842,-18,C
5008843,0,0
5008843,-1,X
5008843,-2,X
5008843,-3,X
5008844,0,C
5008844,-1,0
5008844,-2,0
5008844,-3,0
5008844,-4,0
5008844,-5,C
5008844,-6,X
5008844,-7,0
5008844,-8,X
5008844,-9,X
5008844,-10,0
5008845,0,0
5008845,-1,0
5008845,-2,C
5008845,-3,C
5008845,-4,C
5008845,-5,0
5008845,-6,X
5008845,-7,X
5008845,-8,C
5008845,-9,X
5008845,-10,C
5008845,-11,0
5008845,-12,C
5008845,-13,X
5008845,-14,C
5008845,-15,C
5008845,-16,X
5008846,0,C
5008846,-1,0
5008846,-2,C
5008846,-3,X
5008846,-4,0
5008846,-5,X
5008847,0,C
5008847,-1,0
5008847,-2,X
5008847,-3,C
5008847,-4,C
5008847,-5,X
5008847,-6,C
5008847,-7,C
5008847,-8,X
5008847,-9,0
5008847,-10,C
5008847,-11,C
5008847,-12,X
5008847,-13,C
5008847,-14,C
5008847,-15,0
5008847,-16,X
5008847,-17,0
5008847,-18,X
5008848,0,C
5008848,-1,C
5008848,-2,X
5008848,-3,X
5008848,-4,X
5008848,-5,C
5008848,-6,0
5008848,-7,X
5008848,-8,1
5008848,-9,0
5008848,-10,C
5008848,-11,X
5008848,-12,C
5008848,-13,X
5008848,-14,C
5008848,-15,C
5008848,-16,0
5008848,-17,C
5008848,-18,X
5008848,-19,C
5008848,-20,C
5008849,0,X
5008849,-1,C
5008849,-2,C
5008849,-3,0
5008849,-4,X
5008849,-5,X
5008849,-6,C
5008849,-7,C
5008849,-8,C
5008849,-9,0
5008849,-10,X
5008849,-11,0
5008849,-12,X
5008849,-13,X
5008849,-14,C
5008849,-15,X
5008849,-16,0
5008849,-17,0
5008849,-18,0
5008849,-19,C
5008850,0,X
5008850,-1,0
5008850,-2,0
5008850,-3,C
5008850,-4,C
5008850,-5,X
5008850,-6,C
5008850,-7,C
5008850,-8,C
5008850,-9,C
5008850,-10,C
5008850,-11,C
5008850,-12,0
5008850,-13,X
5008850,-14,C
5008851,0,X
5008851,-1,C
5008851,-2,X
5008851,-3,X
5008851,-4,0
5008851,-5,C
5008851,-6,X
5008851,-7,X
5008851,-8,X
5008851,-9,X
5008851,-10,0
5008852,0,C
5008852,-1,C
5008852,-2,1
5008852,-3,X
5008852,-4,X
5008852,-5,C
5008852,-6,C
5008852,-7,0
5008852,-8,C
5008852,-9,C
5008852,-10,1
5008853,0,C
5008853,-1,0
5008853,-2,X
5008853,-3,0
5008853,-4,1
5008853,-5,0
5008853,-6,0
5008853,-7,C
5008853,-8,C
5008853,-9,0
5008854,0,C
5008854,-1,C
5008854,-2,0
5008854,-3,C
5008854,-4,X
5008854,-5,C
5008854,-6,0
5008854,-7,0
5008854,-8,0
5008854,-9,C
5008854,-10,0
5008854,-11,0
5008854,-12,C
5008855,0,C
5008855,-1,C
5008855,-2,C
5008855,-3,C
5008855,-4,C
5008855,-5,C
5008855,-6,X
5008855,-7,C
5008855,-8,C
5008855,-9,0
5008855,-10,C
5008855,-11,0
5008855,-12,0
5008855,-13,0
5008855,-14,C
5008855,-15,C
5008855,-16,X
5008855,-17,0
5008855,-18,X
5008855,-19,X
5008855,-20,0
5008855,-21,0
5008856,0,0
5008856,-1,C
5008856,-2,C
5008856,-3,C
5008856,-4,C
5008856,-5,0
5008856,-6,C
5008856,-7,C
5008856,-8,C
5008856,-9,C
5008856,-10,C
5008856,-11,C
5008856,-12,C
5008856,-13,C
5008856,-14,X
5008856,-15,X
5008856,-16,0
5008857,0,C
5008857,-1,X
5008857,-2,C
5008857,-3,0
5008857,-4,C
5008857,-5,C
5008857,-6,0
5008857,-7,C
5008857,-8,C
5008857,-9,C
5008857,-10,C
5008857,-11,X
5008857,-12,C
5008857,-13,X
5008857,-14,0
5008857,-15,X
5008857,-16,C
5008857,-17,X
5008857,-18,C
5008857,-19,C
5008857,-20,X
5008858,0,C
5008858,-1,C
5008858,-2,C
5008858,-3,X
5008859,0,X
5008859,-1,0
5008859,-2,0
5008859,-3,C
5008859,-4,C
5008859,-5,C
5008859,-6,0
5008859,-7,C
5008859,-8,X
5008859,-9,C
5008859,-10,C
5008859,-11,C
5008859,-12,C
5008859,-13,C
5008859,-14,X
5008859,-15,X
5008859,-16,C
5008859,-17,C
5008859,-18,X
5008859,-19,X
5008859,-20,C
5008859,-21,C
5008860,0,X
5008860,-1,C
5008860,-2,0
5008860,-3,0
5008860,-4,X
5008860,-5,C
5008860,-6,C
5008860,-7,C
5008860,-8,C
5008860,-9,C
5008860,-10,0
5008860,-11,0
5008860,-12,C
5008860,-13,0
5008860,-14,C
5008861,0,0
5008861,-1,X
5008861,-2,0
5008861,-3,C
5008861,-4,C
5008861,-5,C
5008861,-6,0
5008861,-7,0
5008861,-8,C
5008861,-9,C
5008861,-10,0
5008861,-11,C
5008861,-12,0
5008861,-13,0
5008861,-14,0
5008861,-15,0
5008861,-16,C
5008861,-17,C
5008861,-18,0
5008861,-19,C
5008862,0,X
5008862,-1,C
5008862,-2,0
5008862,-3,C
5008862,-4,0
5008862,-5,C
5008862,-6,0
5008862,-7,C
5008862,-8,C
5008862,-9,C
5008862,-10,0
5008862,-11,C
5008862,-12,0
5008863,0,C
5008863,-1,C
5008863,-2,0
5008863,-3,X
5008863,-4,C
5008863,-5,C
5008863,-6,C
5008863,-7,0
5008863,-8,C
5008863,-9,C
5008863,-10,0
5008863,-11,X
5008863,-12,0
5008863,-13,X
5008863,-14,X
5008863,-15,C
5008863,-16,C
5008863,-17,0
5008863,-18,0
5008863,-19,C
5008863,-20,C
5008863,-21,X
5008863,-22,C
5008863,-23,0
5008864,0,C
5008864,-1,C
5008864,-2,X
5008864,-3,0
5008864,-4,C
5008864,-5,0
5008864,-6,0
5008865,0,C
5008865,-1,1
5008865,-2,C
5008865,-3,C
5008865,-4,C
5008865,-5,0
5008865,-6,C
5008865,-7,0
5008865,-8,0
5008865,-9,C
5008865,-10,X
5008866,0,C
5008866,-1,C
5008866,-2,X
5008866,-3,0
5008866,-4,0
5008866,-5,X
5008866,-6,C
5008866,-7,C
5008866,-8,0
5008866,-9,C
5008866,-10,1
5008866,-11,0
5008866,-12,C
5008866,-13,C
5008866,-14,X
5008866,-15,X
5008866,-16,C
5008866,-17,C
5008867,0,C
5008867,-1,X
5008867,-2,C
5008867,-3,C
5008867,-4,C
5008867,-5,X
5008867,-6,C
5008867,-7,C
5008867,-8,C
5008867,-9,0
5008867,-10,C
5008868,0,0
5008868,-1,1
5008868,-2,C
5008868,-3,X
5008868,-4,0
5008868,-5,0
5008868,-6,C
5008869,0,C
5008869,-1,0
5008869,-2,C
5008869,-3,C
5008869,-4,X
5008870,0,0
5008870,-1,C
5008870,-2,C
5008870,-3,0
5008870,-4,X
5008870,-5,C
5008870,-6,C
5008870,-7,C
5008870,-8,C
5008870,-9,0
5008870,-10,X
5008870,-11,C
5008870,-12,0
5008870,-13,X
5008870,-14,C
5008870,-15,C
5008870,-16,C
5008870,-17,C
5008870,-18,X
5008870,-19,C
5008870,-20,X
5008870,-21,0
5008870,-22,C
5008870,-23,0
5008871,0,C
5008871,-1,0
5008871,-2,C
5008871,-3,C
5008871,-4,C
5008871,-5,C
5008871,-6,0
5008872,0,0
5008872,-1,X
5008872,-2,0
5008872,-3,C
5008872,-4,C
5008872,-5,C
5008872,-6,0
5008872,-7,0
5008872,-8,C
5008872,-9,C
5008872,-10,C
5008872,-11,0
5008872,-12,0
5008872,-13,C
5008872,-14,C
5008872,-15,0
5008872,-16,C
5008872,-17,X
5008872,-18,C
5008872,-19,C
5008872,-20,X
5008872,-21,C
5008872,-22,0
5008873,0,X
5008873,-1,X
5008873,-2,0
5008874,0,C
5008874,-1,X
5008874,-2,C
5008874,-3,C
5008874,-4,X
5008874,-5,X
5008874,-6,0
5008874,-7,0
5008874,-8,0
5008874,-9,X
5008874,-10,C
5008874,-11,X
5008874,-12,X
5008875,0,C
5008875,-1,1
5008875,-2,C
5008875,-3,X
5008875,-4,C
5008875,-5,C
5008875,-6,C
5008875,-7,C
5008875,-8,C
5008875,-9,C
5008875,-10,C
5008875,-11,C
5008875,-12,0
5008875,-13,X
5008875,-14,0
5008875,-15,C
5008875,-16,C
5008875,-17,C
5008875,-18,0
5008875,-19,0
5008875,-20,X
5008875,-21,X
5008876,0,C
5008876,-1,0
5008876,-2,C
5008876,-3,C
5008876,-4,X
5008876,-5,X
5008876,-6,C
5008876,-7,0
5008876,-8,C
5008876,-9,0
5008877,0,X
5008877,-1,X
5008877,-2,C
5008877,-3,X
5008877,-4,0
5008877,-5,C
5008877,-6,C
5008877,-7,0
5008878,0,X
5008878,-1,C
5008878,-2,C
5008878,-3,1
5008878,-4,0
5008878,-5,0
5008878,-6,C
5008878,-7,C
5008878,-8,2
5008878,-9,1
5008879,0,C
5008879,-1,C
5008879,-2,C
5008879,-3,C
5008879,-4,C
5008879,-5,C
5008879,-6,0
5008879,-7,C
5008879,-8,0
5008879,-9,C
5008879,-10,X
5008879,-11,0
5008879,-12,X
5008879,-13,X
5008879,-14,C
5008879,-15,X
5008879,-16,C
5008879,-17,C
5008879,-18,C
5008879,-19,0
5008879,-20,0
5008879,-21,X
5008879,-22,C
5008879,-23,C
5008880,0,C
5008880,-1,X
5008880,-2,C
5008880,-3,C
5008880,-4,0
5008880,-5,1
5008880,-6,C
5008880,-7,0
5008880,-8,0
5008880,-9,C
5008880,-10,0
5008880,-11,C
5008880,-12,C
5008880,-13,0
5008880,-14,C
5008880,-15,0
5008880,-16,C
5008880,-17,0
5008880,-18,C
5008880,-19,C
5008880,-20,0
5008881,0,C
5008881,-1,C
5008881,-2,X
5008881,-3,0
5008881,-4,C
5008881,-5,C
5008881,-6,C
5008881,-7,0
5008881,-8,1
5008881,-9,C
5008881,-10,C
5008882,0,C
5008882,-1,C
5008882,-2,0
5008882,-3,0
5008882,-4,C
5008882,-5,X
5008882,-6,C
5008882,-7,X
5008882,-8,C
5008882,-9,X
5008882,-10,C
5008882,-11,C
5008882,-12,C
5008882,-13,X
5008882,-14,C
5008882,-15,0
5008882,-16,X
5008882,-17,C
5008882,-18,C
5008882,-19,C
5008883,0,1
5008883,-1,1
5008883,-2,1
5008883,-3,1
5008883,-4,X
5008883,-5,1
5008883,-6,1
5008883,-7,1
5008883,-8,2
5008883,-9,C
5008884,0,C
5008884,-1,C
5008884,-2,0
5008884,-3,X
5008884,-4,0
5008884,-5,C
5008884,-6,X
5008884,-7,C
5008884,-8,0
5008884,-9,C
5008884,-10,0
5008884,-11,0
5008884,-12,C
5008884,-13,0
5008884,-14,X
5008884,-15,X
5008884,-16,0
5008884,-17,C
5008884,-18,C
5008884,-19,0
5008884,-20,X
5008885,0,0
5008885,-1,X
5008885,-2,C
5008885,-3,0
5008885,-4,0
5008885,-5,0
5008885,-6,4
5008885,-7,0
5008885,-8,0
5008885,-9,2
5008885,-10,1
5008885,-11,X
5008885,-12,0
5008885,-13,1
5008885,-14,2
5008885,-15,C
5008885,-16,1
5008885,-17,2
5008885,-18,1
5008885,-19,0
5008885,-20,1
5008886,0,C
5008886,-1,C
5008886,-2,C
5008886,-3,0
5008886,-4,C
5008886,-5,X
5008886,-6,C
5008887,0,0
5008887,-1,C
5008887,-2,0
5008887,-3,C
5008887,-4,X
5008887,-5,X
5008887,-6,C
5008887,-7,0
5008887,-8,C
5008887,-9,C
5008887,-10,X
5008888,0,X
5008888,-1,2
5008888,-2,0
5008888,-3,2
5008888,-4,2
5008888,-5,C
5008888,-6,2
5008888,-7,C
5008888,-8,0
5008888,-9,3
5008888,-10,3
5008888,-11,0
5008888,-12,4
5008888,-13,0
5008888,-14,0
5008888,-15,X
5008888,-16,2
5008888,-17,0
5008888,-18,X
5008888,-19,X
5008888,-20,1
5008889,0,C
5008889,-1,C
5008889,-2,X
5008889,-3,0
5008889,-4,0
5008889,-5,C
5008889,-6,X
5008889,-7,0
5008889,-8,C
5008889,-9,C
5008889,-10,C
5008890,0,0
5008890,-1,0
5008890,-2,C
5008890,-3,C
5008890,-4,C
5008890,-5,C
5008890,-6,X
5008890,-7,X
5008890,-8,0
5008890,-9,C
5008890,-10,X
5008890,-11,0
5008890,-12,X
5008890,-13,0
5008890,-14,0
5008890,-15,C
5008890,-16,0
5008890,-17,C
5008890,-18,C
5008890,-19,C
5008891,0,C
5008891,-1,0
5008891,-2,0
5008891,-3,C
5008891,-4,X
5008891,-5,C
5008891,-6,C
5008891,-7,C
5008891,-8,C
5008891,-9,C
5008891,-10,C
5008891,-11,0
5008891,-12,C
5008891,-13,0
5008892,0,0
5008892,-1,X
5008892,-2,C
5008892,-3,0
5008892,-4,X
5008893,0,C
5008893,-1,X
5008893,-2,C
5008893,-3,X
5008893,-4,X
5008893,-5,0
5008893,-6,C
5008893,-7,C
5008893,-8,C
5008893,-9,0
5008893,-10,0
5008893,-11,C
5008893,-12,0
5008893,-13,0
5008893,-14,0
5008893,-15,X
5008893,-16,C
5008893,-17,C
5008893,-18,0
5008893,-19,0
5008893,-20,C
5008893,-21,0
5008893,-22,0
5008894,0,C
5008894,-1,C
5008894,-2,0
5008894,-3,X
5008894,-4,C
5008894,-5,X
5008894,-6,C
5008894,-7,0
5008894,-8,C
5008894,-9,0
5008894,-10,0
5008895,0,X
5008895,-1,0
5008895,-2,C
5008895,-3,0
5008895,-4,C
5008895,-5,X
5008895,-6,C
5008895,-7,C
5008895,-8,X
5008895,-9,C
5008895,-10,C
5008896,0,C
5008896,-1,0
5008896,-2,C
5008896,-3,C
5008896,-4,X
5008896,-5,C
5008896,-6,C
5008896,-7,C
5008896,-8,0
5008896,-9,C
5008896,-10,1
5008896,-11,0
5008896,-12,0
5008896,-13,C
5008896,-14,0
5008896,-15,X
5008896,-16,C
5008896,-17,C
5008896,-18,0
5008896,-19,0
5008897,0,C
5008897,-1,X
5008897,-2,C
5008897,-3,C
5008897,-4,C
5008897,-5,C
5008897,-6,C
5008897,-7,0
5008897,-8,X
5008897,-9,X
5008897,-10,C
5008897,-11,0
5008897,-12,C
5008897,-13,C
5008897,-14,X
5008898,0,1
5008898,-1,C
5008898,-2,C
5008898,-3,0
5008898,-4,1
5008898,-5,C
5008898,-6,X
5008898,-7,C
5008898,-8,X
5008898,-9,X
5008898,-10,C
5008898,-11,0
5008898,-12,0
5008898,-13,C
5008898,-14,C
5008898,-15,X
5008898,-16,C
5008898,-17,X
5008898,-18,C
5008898,-19,X
5008898,-20,0
5008898,-21,C
5008898,-22,0
5008898,-23,C
5008899,0,C
5008899,-1,C
5008899,-2,C
5008899,-3,C
5008899,-4,C
5008899,-5,C
5008899,-6,0
5008899,-7,X
5008899,-8,0
5008899,-9,C
5008899,-10,C
5008899,-11,C
5008899,-12,0
5008899,-13,0
5008899,-14,C
5008899,-15,C
5008899,-16,C
5008899,-17,0
5008899,-18,C
5008899,-19,0
5008899,-20,0
5008899,-21,X
5008899,-22,X
5008899,-23,C
5008900,0,C
5008900,-1,C
5008900,-2,C
5008900,-3,0
5008900,-4,C
5008900,-5,C
5008900,-6,C
5008900,-7,C
5008900,-8,X
5008900,-9,C
5008900,-10,C
5008900,-11,0
5008900,-12,X
5008900,-13,X
5008900,-14,0
5008900,-15,X
5008900,-16,0
5008900,-17,C
5008900,-18,1
5008900,-19,C
5008900,-20,X
5008900,-21,C
5008901,0,C
5008901,-1,0
5008901,-2,C
5008902,0,0
5008902,-1,0
5008902,-2,C
5008902,-3,X
5008902,-4,X
5008902,-5,0
5008902,-6,C
5008903,0,X
5008903,-1,C
5008903,-2,C
5008903,-3,X
5008903,-4,0
5008903,-5,X
5008903,-6,C
5008903,-7,X
5008903,-8,C
5008903,-9,0
5008903,-10,0
5008903,-11,X
5008903,-12,C
5008903,-13,C
5008903,-14,C
5008903,-15,C
5008903,-16,C
5008903,-17,C
5008903,-18,0
5008903,-19,C
5008903,-20,C
5008903,-21,X
5008903,-22,0
5008904,0,C
5008904,-1,X
5008904,-2,0
5008904,-3,C
5008904,-4,C
5008904,-5,X
5008904,-6,C
5008904,-7,C
5008904,-8,C
5008904,-9,X
5008904,-10,0
5008904,-11,0
5008904,-12,X
5008904,-13,X
5008904,-14,C
5008904,-15,X
5008904,-16,0
5008904,-17,C
5008904,-18,C
5008904,-19,C
5008905,0,0
5008905,-1,0
5008905,-2,C
5008905,-3,C
5008905,-4,C
5008905,-5,C
5008905,-6,C
5008905,-7,C
5008905,-8,1
5008905,-9,C
5008905,-10,C
5008905,-11,C
5008905,-12,C
5008905,-13,C
5008905,-14,C
5008906,0,C
5008906,-1,0
5008906,-2,0
5008906,-3,C
5008906,-4,0
5008906,-5,C
5008906,-6,0
5008906,-7,C
5008906,-8,0
5008906,-9,C
5008906,-10,C
5008906,-11,0
5008906,-12,C
5008906,-13,X
5008906,-14,C
5008906,-15,C
5008906,-16,0
5008906,-17,X
5008906,-18,0
5008906,-19,X
5008906,-20,C
5008906,-21,C
5008906,-22,0
5008907,0,C
5008907,-1,0
5008907,-2,X
5008907,-3,C
5008907,-4,0
5008907,-5,C
5008907,-6,0
5008907,-7,0
5008907,-8,C
5008907,-9,0
5008907,-10,X
5008907,-11,0
5008907,-12,X
5008907,-13,C
5008907,-14,X
5008908,0,X
5008908,-1,X
5008908,-2,C
5008908,-3,C
5008908,-4,C
5008908,-5,0
5008908,-6,C
5008908,-7,X
5008909,0,0
5008909,-1,C
5008909,-2,C
5008910,0,C
5008910,-1,1
5008910,-2,0
5008910,-3,X
5008910,-4,C
5008911,0,C
5008911,-1,C
5008911,-2,C
5008911,-3,0
5008911,-4,X
5008911,-5,C
5008912,0,C
5008912,-1,0
5008912,-2,0
5008912,-3,C
5008912,-4,C
5008912,-5,0
5008912,-6,0
5008912,-7,X
5008913,0,X
5008913,-1,X
5008913,-2,C
5008914,0,C
5008914,-1,X
5008914,-2,C
5008914,-3,X
5008914,-4,0
5008914,-5,0
5008914,-6,X
5008914,-7,C
5008914,-8,0
5008914,-9,C
5008914,-10,X
5008914,-11,C
5008914,-12,X
5008914,-13,0
5008914,-14,0
5008914,-15,0
5008914,-16,0
5008914,-17,C
5008914,-18,0
5008915,0,C
5008915,-1,0
5008915,-2,X
5008915,-3,C
5008915,-4,0
5008915,-5,C
5008915,-6,C
5008915,-7,X
5008915,-8,C
5008916,0,X
5008916,-1,1
5008916,-2,C
5008916,-3,0
5008917,0,C
5008917,-1,X
5008917,-2,X
5008918,0,0
5008918,-1,0
5008918,-2,C
5008918,-3,0
5008918,-4,C
5008918,-5,C
5008918,-6,C
5008918,-7,1
