ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008889,F,N,Y,0,200593.31,Student,Higher education,Civil marriage,With parents,-23998,-6074,1,0,0,1,HR staff,2
5008890,M,Y,N,0,152173.44,Student,Higher education,Widow,With parents,-17923,-1904,1,0,1,0,High skill tech staff,1
5008891,F,N,Y,0,96009.13,State servant,Secondary / secondary special,Separated,With parents,-13984,-7028,1,1,1,0,Secretaries,1
5008892,F,N,N,1,40836.8,Pensioner,Secondary / secondary special,Civil marriage,Office apartment,-23709,365243,1,0,1,0,,3
5008893,M,Y,N,0,200485.91,Commercial associate,Secondary / secondary special,Separated,Office apartment,-14089,-3014,1,1,0,0,Sales staff,1
5008894,M,N,Y,1,154293.35,Pensioner,Secondary / secondary special,Single / not married,Co-op apartment,-15723,365243,1,0,0,0,,2
5008895,M,N,Y,1,144858.7,Working,Secondary / secondary special,Married,House / apartment,-11763,-3381,1,0,0,0,Secretaries,3
5008896,F,N,Y,0,126475.49,Commercial associate,Secondary / secondary special,Single / not married,Co-op apartment,-19141,-6665,1,0,0,0,Private service staff,1
5008897,F,Y,Y,0,210217.7,Pensioner,Higher education,Married,Office apartment,-20291,365243,1,1,0,0,,2
5008898,F,N,Y,1,167956.23,State servant,Secondary / secondary special,Married,Co-op apartment,-20994,-6698,1,0,0,0,Cooking staff,3
5008899,M,Y,Y,0,131385.24,State servant,Higher education,Single / not married,Municipal apartment,-13798,-5680,1,1,0,0,Cleaning staff,1
5008900,F,N,N,2,149481.49,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,-21423,-10846,1,1,0,0,Sales staff,3
5008901,F,Y,Y,0,78864.32,State servant,Secondary / secondary special,Separated,House / apartment,-20147,-12389,1,1,0,0,Waiters/barmen staff,1
5008902,F,N,N,0,224325.1,Commercial associate,Lower secondary,Separated,House / apartment,-9837,-909,1,1,1,1,Private service staff,1
5008903,M,N,Y,2,130780.37,Working,Secondary / secondary special,Separated,Municipal apartment,-18821,-3193,1,0,0,0,Managers,3
5008904,F,N,Y,1,286169.92,Commercial associate,Higher education,Married,With parents,-22310,-7213,1,0,1,0,Secretaries,3
5008905,M,N,Y,0,191025.97,Commercial associate,Secondary / secondary special,Married,With parents,-21267,-3617,1,0,1,0,HR staff,2
5008906,F,N,N,0,151665.49,Working,Incomplete higher,Separated,Office apartment,-8936,-2301,1,1,1,0,Sales staff,1
5008907,F,Y,N,0,98214.52,Commercial associate,Secondary / secondary special,Married,House / apartment,-16564,-3165,1,1,0,0,High skill tech staff,2
5008908,F,N,Y,0,172250.53,Commercial associate,Secondary / secondary special,Married,Office apartment,-18673,-7235,1,0,1,0,Drivers,2
5008909,M,N,Y,0,179536.56,Student,Higher education,Widow,Rented apartment,-18281,-531,1,1,1,0,IT staff,1
5008910,F,Y,Y,0,116301.92,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-22459,-5196,1,1,0,0,Private service staff,1
5008911,M,Y,Y,0,162946.93,Working,Secondary / secondary special,Single / not married,Municipal apartment,-23699,-12400,1,0,1,1,Accountants,1
5008912,F,N,Y,0,116134.61,Student,Incomplete higher,Widow,Municipal apartment,-8505,-674,1,1,0,0,HR staff,1
5008913,F,Y,Y,0,104124.02,Working,Secondary / secondary special,Single / not married,Municipal apartment,-17167,-948,1,1,1,0,Realty agents,1
5008914,M,Y,Y,0,77930.48,Student,Lower secondary,Widow,House / apartment,-8447,-414,1,1,1,0,Cleaning staff,1
5008915,M,Y,Y,0,263053.96,Pensioner,Academic degree,Widow,Office apartment,-16079,365243,1,1,1,0,,1
5008916,F,Y,Y,0,129054.22,Working,Secondary / secondary special,Widow,Office apartment,-11576,-430,1,0,1,0,HR staff,1
5008917,M,Y,N,0,90505.95,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-16284,365243,1,1,0,0,,1
5008918,M,N,N,0,144071.33,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,-19272,-11041,1,1,0,1,Security staff,1
5008919,F,N,Y,2,145391.68,Pensioner,Secondary / secondary special,Separated,Municipal apartment,-15906,365243,1,1,1,0,,3
5008920,F,N,Y,0,209814.73,Commercial associate,Higher education,Married,Municipal apartment,-23532,-11186,1,0,0,0,HR staff,2
5008921,F,N,N,0,235907.49,Student,Higher education,Single / not married,House / apartment,-9390,-1052,1,0,0,0,HR staff,1
5008922,M,N,N,1,174638.06,Commercial associate,Secondary / secondary special,Civil marriage,Co-op apartment,-8685,-1665,1,0,0,0,Medicine staff,3
5008923,M,N,Y,1,235871.17,Commercial associate,Higher education,Single / not married,Office apartment,-15704,-1907,1,1,0,0,Managers,2
5008924,F,N,Y,0,151148.17,Commercial associate,Secondary / secondary special,Married,With parents,-24522,-8664,1,0,1,0,Medicine staff,2
5008925,F,N,N,0,174451.49,Working,Higher education,Single / not married,House / apartment,-19133,-5942,1,1,1,0,High skill tech staff,1
5008926,F,N,Y,2,163118.23,State servant,Secondary / secondary special,Separated,Co-op apartment,-17098,-5051,1,0,0,0,IT staff,3
5008927,M,N,Y,0,53519.18,Working,Incomplete higher,Widow,With parents,-17501,-1792,1,1,0,0,Cleaning staff,1
5008928,F,Y,Y,1,106691.56,Student,Secondary / secondary special,Widow,Rented apartment,-19219,-4023,1,1,1,0,Laborers,2
5008929,M,N,Y,0,92931.19,Working,Secondary / secondary special,Separated,Municipal apartment,-24714,-7050,1,1,0,0,Low-skill Laborers,1
5008930,M,N,Y,0,214232.53,Student,Secondary / secondary special,Civil marriage,Rented apartment,-19232,-6974,1,1,0,0,IT staff,2
5008931,F,Y,Y,1,236567.19,Working,Higher education,Married,With parents,-11208,-631,1,1,0,0,Core staff,3
5008932,M,N,Y,0,132360.86,Working,Incomplete higher,Civil marriage,With parents,-12850,-1055,1,0,1,0,Realty agents,2
5008933,M,N,Y,1,124021.06,State servant,Secondary / secondary special,Civil marriage,Co-op apartment,-19195,-9956,1,1,1,0,Cleaning staff,3
5008934,F,Y,Y,0,282893.1,Commercial associate,Secondary / secondary special,Widow,Office apartment,-9972,-963,1,1,0,1,Accountants,1
5008935,F,Y,N,0,175884.24,Student,Secondary / secondary special,Single / not married,Office apartment,-20104,-7641,1,0,1,0,HR staff,1
5008936,M,Y,Y,1,223174.63,State servant,Higher education,Single / not married,Office apartment,-13191,-2003,1,1,1,0,Secretaries,2
5008937,F,N,N,1,225180.42,Pensioner,Higher education,Separated,House / apartment,-17326,365243,1,0,0,0,,2
5008938,F,Y,Y,0,149861.22,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-20774,-7031,1,1,0,0,HR staff,2
5008939,F,Y,N,0,130209.89,Student,Incomplete higher,Married,Co-op apartment,-8503,-193,1,0,0,0,Drivers,2
5008940,M,Y,Y,0,193812.46,Student,Higher education,Civil marriage,Office apartment,-24450,-485,1,0,0,1,Waiters/barmen staff,2
5008941,M,Y,Y,0,116282.18,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-19413,-10913,1,0,1,0,Core staff,1
5008942,F,Y,Y,0,134869.54,State servant,Secondary / secondary special,Married,Office apartment,-23449,-4017,1,1,0,1,HR staff,2
5008943,F,N,Y,0,68411.65,Pensioner,Incomplete higher,Widow,Rented apartment,-19292,365243,1,1,1,0,,1
5008944,M,N,N,0,125593.88,Pensioner,Higher education,Married,Municipal apartment,-18059,365243,1,1,1,0,,2
5008945,F,N,Y,0,105399.33,State servant,Secondary / secondary special,Separated,House / apartment,-20925,-4367,1,0,0,0,Medicine staff,1
5008946,F,N,Y,1,104109.66,Working,Secondary / secondary special,Married,With parents,-9168,-1222,1,1,0,0,IT staff,3
5008947,F,N,Y,1,96668.32,Working,Incomplete higher,Married,Co-op apartment,-23139,-15012,1,0,1,0,Medicine staff,3
5008948,F,Y,Y,0,56773.53,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,-23879,-12526,1,0,1,0,HR staff,2
5008949,F,Y,Y,1,92795.77,Pensioner,Secondary / secondary special,Widow,With parents,-12827,365243,1,0,1,0,,2
5008950,F,N,Y,0,148703.46,Student,Secondary / secondary special,Civil marriage,Rented apartment,-13936,-6874,1,0,0,1,Accountants,2
5008951,F,N,Y,1,187547.74,Working,Higher education,Civil marriage,With parents,-12007,-992,1,1,0,0,Waiters/barmen staff,3
5008952,F,N,Y,2,134310.95,State servant,Incomplete higher,Civil marriage,Co-op apartment,-23043,-8926,1,0,0,0,Sales staff,4
5008953,F,Y,Y,0,247924.81,State servant,Higher education,Separated,House / apartment,-7851,-465,1,0,1,0,Realty agents,1
5008954,F,N,Y,0,118322.0,Working,Secondary / secondary special,Married,House / apartment,-21941,-11269,1,1,1,0,Private service staff,2
5008955,M,N,Y,0,182240.97,State servant,Higher education,Married,House / apartment,-22247,-10220,1,0,0,0,High skill tech staff,2
5008956,F,N,N,0,87201.71,Commercial associate,Secondary / secondary special,Separated,House / apartment,-20328,-12167,1,1,1,0,Secretaries,1
5008957,M,Y,N,1,164378.53,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-11053,-672,1,1,1,0,HR staff,3
5008958,M,Y,N,0,250103.09,Pensioner,Higher education,Single / not married,Municipal apartment,-9693,365243,1,1,0,0,,1
5008959,M,N,Y,0,148022.78,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,-10534,-1273,1,1,1,0,High skill tech staff,1
5008960,F,N,Y,0,120738.89,Student,Secondary / secondary special,Separated,Rented apartment,-19861,-5998,1,0,0,0,High skill tech staff,1
5008961,M,Y,Y,0,139806.38,State servant,Secondary / secondary special,Separated,Office apartment,-16439,-5727,1,1,0,0,Security staff,1
5008962,F,N,N,0,224704.79,Commercial associate,Higher education,Married,Rented apartment,-22524,-2033,1,0,1,0,Medicine staff,2
5008963,F,Y,Y,0,130280.91,Working,Secondary / secondary special,Widow,Office apartment,-10560,-3906,1,1,1,1,Cooking staff,1
5008964,M,Y,N,0,128847.64,Pensioner,Secondary / secondary special,Single / not married,With parents,-10180,365243,1,1,0,0,,1
5008965,F,N,Y,0,150898.7,State servant,Secondary / secondary special,Civil marriage,Co-op apartment,-23744,-6452,1,1,0,0,HR staff,2
5008966,M,N,Y,0,153688.0,Working,Secondary / secondary special,Separated,With parents,-16162,-3219,1,1,0,0,Cooking staff,1
5008967,F,N,N,1,76816.31,State servant,Secondary / secondary special,Separated,With parents,-24763,-16557,1,0,1,0,Cooking staff,2
5008968,F,Y,Y,2,151455.25,State servant,Secondary / secondary special,Single / not married,Rented apartment,-18922,-8743,1,0,1,0,Laborers,3
5008969,M,N,Y,0,177986.05,Working,Secondary / secondary special,Single / not married,Rented apartment,-8886,-998,1,0,1,0,Managers,1
5008970,F,Y,N,1,82183.47,Commercial associate,Secondary / secondary special,Widow,Co-op apartment,-10487,-1492,1,0,1,0,Accountants,2
5008971,F,N,Y,0,224339.79,Student,Higher education,Separated,Municipal apartment,-21250,-3773,1,0,1,0,Sales staff,1
5008972,M,N,Y,0,84873.89,Student,Secondary / secondary special,Married,With parents,-16165,-1243,1,0,0,1,HR staff,2
5008973,F,Y,N,0,109777.98,Commercial associate,Secondary / secondary special,Married,House / apartment,-23956,-7027,1,1,1,0,Cooking staff,2
5008974,M,N,Y,0,120973.57,Working,Secondary / secondary special,Single / not married,Office apartment,-13279,-4007,1,1,1,0,Sales staff,1
5008975,M,Y,Y,0,133156.64,Student,Secondary / secondary special,Married,Co-op apartment,-10025,-219,1,1,1,0,HR staff,2
5008976,M,N,N,1,100160.83,Working,Secondary / secondary special,Widow,House / apartment,-12184,-5474,1,1,1,0,Sales staff,2
5008977,M,N,Y,0,203021.89,Working,Secondary / secondary special,Married,With parents,-20387,-217,1,0,0,0,Laborers,2
5008978,F,N,Y,2,94852.81,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,-21849,-8808,1,0,0,0,Managers,4
5008979,M,N,Y,0,73482.72,Pensioner,Secondary / secondary special,Married,Municipal apartment,-11115,365243,1,1,0,0,,2
5008980,F,N,N,1,180431.61,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-7695,-799,1,0,0,0,Cooking staff,3
5008981,M,N,N,2,156768.0,Pensioner,Secondary / secondary special,Civil marriage,Rented apartment,-24400,365243,1,0,0,0,,4
5008982,F,Y,Y,0,54113.1,Commercial associate,Lower secondary,Separated,Co-op apartment,-21951,-5139,1,1,0,0,Secretaries,1
5008983,M,Y,N,0,116075.17,State servant,Secondary / secondary special,Widow,Municipal apartment,-24229,-3810,1,1,1,0,Cooking staff,1
5008984,M,Y,N,1,116451.34,Working,Higher education,Civil marriage,Rented apartment,-16484,-6769,1,0,0,1,Security staff,3
5008985,F,N,Y,0,174790.4,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-14060,-4785,1,1,0,0,Sales staff,1
5008986,M,Y,Y,1,83354.87,Pensioner,Secondary / secondary special,Separated,House / apartment,-14240,365243,1,1,0,0,,2
5008987,M,Y,Y,0,175252.29,Student,Higher education,Separated,Office apartment,-15893,-984,1,0,1,0,Low-skill Laborers,1
5008988,M,N,N,1,93621.68,Pensioner,Lower secondary,Civil marriage,Office apartment,-16294,365243,1,1,1,0,,3
5008989,F,N,Y,1,128662.27,State servant,Secondary / secondary special,Single / not married,With parents,-9389,-1911,1,0,0,0,Security staff,2
5008990,F,N,N,1,72313.92,Student,Secondary / secondary special,Civil marriage,Office apartment,-8154,-1161,1,0,1,0,Drivers,3
5008991,M,N,Y,0,117739.79,Student,Secondary / secondary special,Widow,With parents,-21514,-5211,1,1,0,0,High skill tech staff,1
5008992,M,N,N,1,141542.67,Pensioner,Lower secondary,Widow,House / apartment,-13447,365243,1,1,0,1,,2
5008993,F,N,N,0,145353.55,Student,Secondary / secondary special,Widow,With parents,-14165,-5620,1,0,0,0,Cooking staff,1
5008994,F,N,N,0,55915.55,Pensioner,Secondary / secondary special,Separated,With parents,-13355,365243,1,0,0,0,,1
5008995,F,Y,N,0,175015.82,Pensioner,Higher education,Single / not married,Co-op apartment,-8834,365243,1,1,0,0,,1
5008996,M,N,N,2,160380.37,State servant,Incomplete higher,Separated,House / apartment,-21898,-12124,1,0,1,0,Medicine staff,3
5008997,M,Y,Y,2,181724.96,Commercial associate,Secondary / secondary special,Married,Office apartment,-23838,-16888,1,1,0,0,Cleaning staff,4
5008998,M,N,Y,0,136038.37,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,-19010,-3826,1,0,1,0,Managers,1
5008999,F,Y,Y,0,118505.13,Student,Secondary / secondary special,Single / not married,With parents,-18625,-11779,1,0,1,0,HR staff,1
5009000,F,N,Y,0,135691.3,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-8436,-920,1,0,1,0,Security staff,1
5009001,M,N,Y,0,95764.74,Student,Secondary / secondary special,Single / not married,Office apartment,-8717,-941,1,1,1,0,Realty agents,1
5009002,M,N,Y,2,210114.58,Student,Higher education,Widow,Co-op apartment,-24540,-2804,1,0,0,1,Secretaries,3
5009003,M,Y,Y,3,180894.02,Commercial associate,Secondary / secondary special,Married,House / apartment,-14332,-3192,1,1,1,1,Cleaning staff,5
5009004,M,N,Y,0,64527.93,State servant,Secondary / secondary special,Widow,House / apartment,-23548,-9630,1,1,1,0,Managers,1
5009005,F,N,Y,0,82559.43,Pensioner,Secondary / secondary special,Separated,House / apartment,-14464,365243,1,1,0,0,,1
5009006,F,N,N,0,97450.93,Pensioner,Higher education,Married,With parents,-9977,365243,1,1,1,0,,2
5009007,F,N,Y,0,188746.11,State servant,Incomplete higher,Civil marriage,House / apartment,-16515,-1733,1,1,0,0,Cooking staff,2
5009008,M,Y,N,0,83540.57,Working,Secondary / secondary special,Single / not married,Municipal apartment,-13993,-3541,1,0,0,0,Low-skill Laborers,1
5009009,F,N,Y,1,34166.59,Pensioner,Secondary / secondary special,Civil marriage,Co-op apartment,-21933,365243,1,0,1,0,,3
5009010,M,Y,Y,2,166682.68,Commercial associate,Incomplete higher,Separated,Office apartment,-8014,-1163,1,1,0,0,Laborers,3
